"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11965","should show error for invalid email format","User Access Management Spec","Thu Apr 16 02:56:24 UTC 2026","broken","Thu Apr 16 02:56:36 UTC 2026","","Negative Tests with invalid credentials","",""
"","3474","should open language selector and display available languages","Language Functionality Spec","Thu Apr 16 02:53:47 UTC 2026","passed","Thu Apr 16 02:53:50 UTC 2026","","","",""
"","11378","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Apr 16 02:55:25 UTC 2026","broken","Thu Apr 16 02:55:36 UTC 2026","","","",""
"","3070","should change site language to German","Language Functionality Spec","Thu Apr 16 02:53:52 UTC 2026","passed","Thu Apr 16 02:53:55 UTC 2026","","","",""
"","10573","should filter movie by User Rating","Filter Functionality Spec","Thu Apr 16 02:55:03 UTC 2026","broken","Thu Apr 16 02:55:14 UTC 2026","","","",""
"","6","should return 404 when fetching deleted booking","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Thu Apr 16 02:56:49 UTC 2026","skipped","Thu Apr 16 02:56:49 UTC 2026","","","",""
"","11162","should filter movies by Number of Votes","Filter Functionality Spec","Thu Apr 16 02:55:14 UTC 2026","broken","Thu Apr 16 02:55:25 UTC 2026","","","",""
"","3050","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Apr 16 02:54:41 UTC 2026","passed","Thu Apr 16 02:54:44 UTC 2026","","","",""
"","59","should create an auth token","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","13319","should show error when email is missing","User Access Management Spec","Thu Apr 16 02:56:11 UTC 2026","broken","Thu Apr 16 02:56:24 UTC 2026","","Negative Tests with invalid credentials","",""
"","3763","should return correct results for a valid search query","Search Functionality Spec","Thu Apr 16 02:54:31 UTC 2026","passed","Thu Apr 16 02:54:35 UTC 2026","","","",""
"","1452","should contain Spanish in the list","Language Functionality Spec","Thu Apr 16 02:53:50 UTC 2026","passed","Thu Apr 16 02:53:52 UTC 2026","","","",""
"","6","should update the booking","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","7","should create a new booking","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","12115","should show error when email not exists","User Access Management Spec","Thu Apr 16 02:56:36 UTC 2026","broken","Thu Apr 16 02:56:49 UTC 2026","","Negative Tests with invalid credentials","",""
"","6","should get the created booking","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","3362","should return at least one result for a common search query","Search Functionality Spec","Thu Apr 16 02:54:35 UTC 2026","passed","Thu Apr 16 02:54:38 UTC 2026","","","",""
"","6","should delete the booking","restful-booker API tests","Thu Apr 16 02:55:38 UTC 2026","passed","Thu Apr 16 02:55:38 UTC 2026","","","",""
"","2507","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Apr 16 02:54:38 UTC 2026","failed","Thu Apr 16 02:54:41 UTC 2026","","","",""
